ID,Name,Description,Add,Tel,CoverImage,TagsStr,PriceLevel,AvgPrice,City,Town,ServiceTime,Parking,Payment,Website,GoogleMap,Px,Py,Region,Google_Status,Google_Reviews,Google_Photos,Place_ID,desc_len
C3_376490000A_000834,二崙煎包,人未到，香先到！吃到讓人笑的甜鹹煎包人在街口，就聞到高麗菜餡快炒的甜香。老闆以慢火細煎兩面「恰恰」酥金的外皮，讓煎包又更多酥香脆。亦有甜綠豆沙，清軟綿綿而不甜膩，配上香酥金黃外皮，竟沒想到這麼搭。,二崙鄉中山路與中華路交叉口,886-5-5000000,,,$$$,2987,雲林縣,二崙鄉,14:00-售完為止日公休,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/p/%E4%BA%8C%E5%B4%99%E7%85%8E%E5%8C%85-100063582894181/,https://www.google.com/maps/search/?api=1&query=%E4%BA%8C%E5%B4%99%E7%85%8E%E5%8C%85%20%E4%BA%8C%E5%B4%99%E9%84%89%E4%B8%AD%E5%B1%B1%E8%B7%AF%E8%88%87%E4%B8%AD%E8%8F%AF%E8%B7%AF%E4%BA%A4%E5%8F%89%E5%8F%A3,120.4112,23.77007,Central,Active/Open,135,10,ChIJR7Zmwz-xbjQR4xQcGwxm5AU,
C3_387000000A_000124,炭火燒肉工房,"炭火燒肉工房：純粹食材與年輕活力的完美碰撞。
這裡不只是餐廳，更是朋友聚首的溫馨場域。從一碗暖胃蔥花雞湯開始，體驗由年輕團隊打造的舒心氛圍。我們屏棄複雜的調味，堅持以熾熱炭火還原食材本色。在裊裊炭香中，邀您品嚐那份返璞歸真的絕妙感動。",臺中市403西區美村路一段412號,886-4-23762988,,,$,190,臺中市,西區,詳見官網或電話洽詢,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/pages/category/Barbecue-Restaurant/%E7%82%AD%E7%81%AB%E7%87%92%E8%82%89%E5%B7%A5%E6%88%BF-%E7%BE%8E%E6%9D%91%E5%BA%97-319404619877/,https://www.google.com/maps/search/?api=1&query=%E7%82%AD%E7%81%AB%E7%87%92%E8%82%89%E5%B7%A5%E6%88%BF%20%E8%87%BA%E4%B8%AD%E5%B8%82403%E8%A5%BF%E5%8D%80%E7%BE%8E%E6%9D%91%E8%B7%AF%E4%B8%80%E6%AE%B5412%E8%99%9F,120.66159,24.14362,Central,Active/Open,1420,10,ChIJu0kSn6E9aTQRFhkHBqoHqLw,
C3_376430000A_001943,卡托米利庭園咖啡,2016海客之都認證餐廳推薦菜色：黑森林花果茶、青醬野菇鮭魚麵、檸檬香茅烤雞腿排取名世界前一百大勝地，希臘米克諾斯島著名地標KATO MILI，島上五座風車一直是人們的心之嚮往；而今在永安的卡托米利庭園咖啡找到如同KATO MILI的明媚風光。所有的氛圍感受從一下車即被營造，藍天、白色建築、大風車、綠草皮、愛心池&hellip;&hellip;來此的顧客，幾乎動作如出一轍，馬上拿出手機，索性先拍照打卡再說。進入餐廳後，又是另一風情，牆壁壁畫透露著希臘的街景，一筆一畫出自於美術系畢業的陳老闆娘，看著她臉上洋溢的幸褔感，一時之間，我們都明白了，卡托米利是她心中的夢想樂園，而她將夢境，喔不，是將大家的夢境點石成真。 新奇又吸睛的海客義大利餐，喜歡喝咖啡的顧客經常也會收到陳老闆娘的愛心拉花，讓人彷彿置身在國外之餘，又增添夢幻。白蘭地蛤蜊義大利麵、鬱香鮮蚵海鮮燉飯，或是深受小朋友...,桃園市327新屋區東福路三段1038巷48號,886-3-4768668,,,$$$,1364,桃園市,新屋區,10:00~19:00,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/%E5%8D%A1%E6%89%98%E7%B1%B3%E5%88%A9%E5%BA%AD%E5%9C%92%E5%92%96%E5%95%A1%E7%B2%89%E7%B5%B2%E5%9C%98-268885293132139/,https://www.google.com/maps/search/?api=1&query=%E5%8D%A1%E6%89%98%E7%B1%B3%E5%88%A9%E5%BA%AD%E5%9C%92%E5%92%96%E5%95%A1%20%E6%A1%83%E5%9C%92%E5%B8%82327%E6%96%B0%E5%B1%8B%E5%8D%80%E6%9D%B1%E7%A6%8F%E8%B7%AF%E4%B8%89%E6%AE%B51038%E5%B7%B748%E8%99%9F,120.99348,24.94056,North,Active/Open,1102,10,ChIJw_EkSx0uaDQRXkHKed5hsq0,
C3_382000000A_207336,古早味鹹湯圓,深夜十分還是依然人潮洶湧，位於新莊的24小時不打烊的美味，當你夜深時肚子餓時，店家料好實在美食，正是解飢的好選擇！推薦菜色:鹹湯圓、蝦仁扁食、燒肉麵 、虎皮蝦捲,新北市242新莊區新莊路317號1F,886-2-29944093,,,$$,681,新北市,新莊區,11:00 - 22:00 / 月底週二、三、四,請參考周邊路邊停車格或收費停車場,Cash,https://almablog.tw/blog/post/247628,https://www.google.com/maps/search/?api=1&query=%E6%AD%A3%E5%8F%A4%E6%97%A9%E5%91%B3%28%E5%8F%A4%E6%97%A9%E5%91%B3%E9%B9%B9%E6%B9%AF%E5%9C%93%29%20%E6%96%B0%E5%8C%97%E5%B8%82242%E6%96%B0%E8%8E%8A%E5%8D%80%E6%96%B0%E8%8E%8A%E8%B7%AF317%E8%99%9F1F,121.45281,25.0342,North,Active/Open,769,10,ChIJURrOoXOoQjQRQtuQl_xyUGQ,
C3_376470000A_000187,木生海鮮會館,「木生海鮮會館」**是一家深受在地人推崇的樸實名店，專精於鮮美的海鮮料理、暖心湯品與適合多人共享的佳餚。最特別的是，在這間專業的海鮮餐廳裡，藏著讓人一試難忘的「靈魂滷肉飯」，這種由頂級海味與庶民小吃交織出的獨特風味，讓木生成為在地饕客口耳相傳的飲食寶地。,彰化縣鹿港鎮自由路77號,886-4-7764072,,,$$,570,彰化縣,鹿港鎮,"11:00–14:00, 17:30–20:30",請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/profile.php?id=100069190856313,https://www.google.com/maps/search/?api=1&query=%E6%9C%A8%E7%94%9F%E6%B5%B7%E9%AE%AE%E6%9C%83%E9%A4%A8%20%E5%BD%B0%E5%8C%96%E7%B8%A3%E9%B9%BF%E6%B8%AF%E9%8E%AE%E8%87%AA%E7%94%B1%E8%B7%AF77%E8%99%9F,120.436781,24.059861,Central,Active/Open,2562,10,ChIJQRNNxglGaTQR2cMdN2uo0Hg,
C3_395000000A_001820,邱家小卷米粉,這是一家主打台南大菜市場經典風味的樸實麵食館。設有舒適的露天座位，提供最具代表性的家常魷魚與小卷米粉。店家特別強調工序，透過幫浦打水技術活化新鮮小卷，使其肉質鮮嫩、咬勁十足。搭配粉紅色的鮮甜湯頭與特色粗米粉，在簡單的用餐環境中，展現出最不簡單的職人滋味。,臺南市700中西區國華街三段253號,886-6-2210517,,,$,236,臺南市,中西區,週一~週日11:00–17:00，週三休息,海安路地下停車場,Cash,https://www.facebook.com/%E9%82%B1%E5%AE%B6%E5%82%B3%E7%B5%B1%E5%B0%8F%E5%90%83%E5%B0%8F%E5%8D%B7%E7%B1%B3%E7%B2%89-242547202445920/,https://www.google.com/maps/search/?api=1&query=%E9%82%B1%E5%AE%B6%E5%B0%8F%E5%8D%B7%E7%B1%B3%E7%B2%89%20%E8%87%BA%E5%8D%97%E5%B8%82700%E4%B8%AD%E8%A5%BF%E5%8D%80%E5%9C%8B%E8%8F%AF%E8%A1%97%E4%B8%89%E6%AE%B5253%E8%99%9F,120.19951,22.99929,South,Active/Open,8793,10,ChIJZ1Zt6WR2bjQRNzPYYyIaN5Q,
C3_382000000A_207940,雪花軒涼麵,在新店與老孫涼麵齊名的雪花軒，也是當地美食行家力薦的涼麵名店，兩家店賣的涼麵和產品大同小異，卻各有死忠的美食粉絲。雪花軒最受歡迎的美食除了涼麵之外，熱湯和炒麵、炒米粉古早味的口感，也很受老饕的喜愛。雪花軒涼麵口感綿軟富彈性、味香而不膩，老闆將麵條抓入盤子裡，再淋上香濃的麻醬，與小黃瓜絲搭配，一起拌勻後讓麵條與麻醬相融，麵條微Q彈、有嚼勁，芝麻醬和各種味道交相掩映，真是妙不可言。,新北市231新店區中正路96號,886-2-86659623,,,$$,825,新北市,新店區,05:00-14:00 （第二，四個禮拜休禮拜天）,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/share/1EExSS7kW7/,https://www.google.com/maps/search/?api=1&query=%E9%9B%AA%E8%8A%B1%E8%BB%92%E6%B6%BC%E9%BA%B5%20%E6%96%B0%E5%8C%97%E5%B8%82231%E6%96%B0%E5%BA%97%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF96%E8%99%9F,121.54345,24.97054,North,Active/Open,774,10,ChIJX7GRg_MBaDQRpl4OZWLey4A,
C3_395000000A_006531,宇牛肉湯,開幕至今雖營運只有幾年，但老闆的父親位於肉品市場上班，秉持著牛肉絕對新鮮口號進而吸引眾多每天必定前來品嚐的客人，店內所熬高湯是用牛大骨及店內秘方所特別製作的，甘醇爽口。另外有許多招牌菜，像是熱炒牛骨髓、蔥爆牛肉或是青椒炒牛肉，讓人忍不住食指大動，口水直流。推薦特色菜：熱炒牛骨髓(老闆推薦加牛肉)、頂級五花肉(10點前即售完),臺南市709安南區安中路一段968號,886-9-89207446,,,$$$,2984,臺南市,安南區,週一~週日03:00–21:30，週二休息,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/yufreshbeefsoup/,https://www.google.com/maps/search/?api=1&query=%E5%AE%87%E7%89%9B%E8%82%89%E6%B9%AF%20%E8%87%BA%E5%8D%97%E5%B8%82709%E5%AE%89%E5%8D%97%E5%8D%80%E5%AE%89%E4%B8%AD%E8%B7%AF%E4%B8%80%E6%AE%B5968%E8%99%9F,120.19219,23.04509,South,Active/Open,693,10,ChIJMRCVCnOIbjQRls-bF2ubMc4,
C3_376580000A_000057,鄭家魚丸燕圓,早在光復以前，靠近東門市場附近就有一個挑著竹扁擔，沿街叫賣魚丸、燕丸的鄭老伯在那做生意。第二代的老闆年少有成，自十三歲起就接掌鄭伯的事業。不久後將店面落成於城隍廟內安頓下來，免去了勞碌奔波之苦。至今傳到第三代，足足歷經八十年歷史，可謂城隍廟內一等一的老字號。魚丸、燕丸的材料乃是選用新鮮的『海魚』。經過去鱗、除骨、攪醬等過程後，再以手工捏製成形。這可是每天都得做的『例行公事』，所以在這裡絕對吃不到冷凍過的魚丸、燕丸。店裡除了老闆、老闆娘雙人組外，還有未來的老闆及眾女兒們幫忙，一家人採輕鬆有效率的輪班制度，服務來城隍的食客。,新竹市北區中山路75號,886-3-5258189,,,$$$,2819,新竹市,北區,一~日7:00~22:30,請參考周邊路邊停車格或收費停車場,Cash,https://yoti.life/hsinchu-food-16/,https://www.google.com/maps/search/?api=1&query=%E9%84%AD%E5%AE%B6%E9%AD%9A%E4%B8%B8%E7%87%95%E4%B8%B8%20%E6%96%B0%E7%AB%B9%E5%B8%82%E5%8C%97%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF75%E8%99%9F,120.96565,24.80456,North,Active/Open,240,10,ChIJJ1h0GsA1aDQR0EOM-WRsJV4,
C3_395000000A_002196,瑪莎園,瑪莎園的蔬菜蛋花膠是真心好吃！一口一口都得再夾一次。氣氛超惹人愛！周末去這裡的朋友們，你們一定會 thich的！ (AI熱情推薦),臺南市714玉井區沙田里25-66號,886-6-5746809,,,$$,625,臺南市,玉井區,週一~週日11:00–22:00，週三休息,請參考周邊路邊停車格或收費停車場,Cash,https://www.facebook.com/masa.coffee/,https://www.google.com/maps/search/?api=1&query=%E7%91%AA%E8%8E%8E%E5%9C%92%20%E8%87%BA%E5%8D%97%E5%B8%82714%E7%8E%89%E4%BA%95%E5%8D%80%E6%B2%99%E7%94%B0%E9%87%8C25-66%E8%99%9F,120.48319,23.12966,South,Active/Open,1112,10,ChIJGdaTs-ZgbjQRR4HFmTrNB38,
